003145880 to 571083522 (777 seconds)
Sergio Pereira to Rui Teixeira (667 seconds)
Sergio Pereira to Tiago Teixeira (666 seconds)
Sergio Silva to 765068439 (86 seconds)
Sergio Silva to Ana Oliveira (544 seconds)
Sergio Silva to Ana Pereira (191 seconds)
Sergio Silva to Ana Teixeira (139 seconds)
Sergio Silva to Antonio Nunes (379 seconds)
Sergio Silva to Antonio Nunes (734 seconds)
Sergio Silva to Antonio Nunes (93 seconds)
Sergio Silva to Antonio Tavares (228 seconds)
Sergio Silva to Joao Nunes (222 seconds)
Sergio Silva to Joao Teixeira (681 seconds)
Sergio Silva to Jose Oliveira (440 seconds)
Sergio Silva to Luis Melo (817 seconds)
Sergio Silva to Luis Pacheco (703 seconds)
Sergio Silva to Luis Teixeira (426 seconds)
Sergio Silva to Maria Pereira (14 seconds)
Sergio Silva to Mariana Silva (677 seconds)
Sergio Silva to Mariana Silva (699 seconds)
Sergio Silva to Mario Alberto (564 seconds)
Sergio Silva to Mario Pacheco (859 seconds)
Sergio Silva to Mario Silva (301 seconds)
Sergio Silva to Paulo Silva (719 seconds)
Sergio Silva to Rui Pacheco (81 seconds)
Sergio Silva to Sergio Oliveira (469 seconds)
Sergio Silva to Sergio Tavares (761 seconds)
Sergio Silva to Tiago Nunes (285 seconds)
Sergio Silva to Tiago Pacheco (599 seconds)
Sergio Silva to Tomas Alberto (814 seconds)
Sergio Tavares to 195140477 (461 seconds)
Sergio Tavares to 952072200 (645 seconds)
Sergio Tavares to Dinis Tavares (571 seconds)
Sergio Tavares to Jose Alberto (459 seconds)
Sergio Tavares to Jose Melo (75 seconds)
Sergio Tavares to Luis Nunes (42 seconds)
Sergio Tavares to Pedro Nunes (806 seconds)
Sergio Tavares to Rui Alberto (209 seconds)
Sergio Tavares to Sergio Teixeira (428 seconds)
Sergio Tavares to Tiago Alberto (320 seconds)
Sergio Tavares to Tiago Nunes (220 seconds)
Sergio Tavares to Tiago Pacheco (452 seconds)
Sergio Tavares to Tomas Tavares (347 seconds)
Sergio Teixeira to Dinis Nunes (861 seconds)
Sergio Teixeira to Joao Teixeira (505 seconds)
Sergio Teixeira to Tiago Nunes (306 seconds)
Tiago Alberto to 873826620 (302 seconds)
Tiago Alberto to Joao Teixeira (343 seconds)
Tiago Alberto to Jose Tavares (780 seconds)
Tiago Alberto to Luisa Pacheco (236 seconds)
Tiago Alberto to Mario Oliveira (801 seconds)
Tiago Alberto to Paula Nunes (586 seconds)
Tiago Alberto to Pedro Nunes (817 seconds)
Tiago Alberto to Pedro Pereira (120 seconds)
Tiago Alberto to Pedro Tavares (746 seconds)
Tiago Alberto to Rui Nunes (771 seconds)
Tiago Melo to Jose Alberto (107 seconds)
Tiago Melo to Maria Alberto (453 seconds)
Tiago Nunes to Ana Oliveira (37 seconds)
Tiago Nunes to Ana Pereira (32 seconds)
Tiago Nunes to Dinis Nunes (334 seconds)
Tiago Nunes to Mariana Alberto (25 seconds)
Tiago Nunes to Paula Nunes (33 seconds)
Tiago Nunes to Paula Silva (717 seconds)
Tiago Nunes to Paula Silva (770 seconds)
Tiago Nunes to Paulo Melo (233 seconds)
Tiago Nunes to Pedro Oliveira (769 seconds)
Tiago Nunes to Sergio Pacheco (406 seconds)
Tiago Nunes to Tomas Teixeira (855 seconds)
Tiago Oliveira to Jose Alberto (658 seconds)
Tiago Oliveira to Jose Pereira (242 seconds)
Tiago Oliveira to Maria Pereira (171 seconds)
Tiago Oliveira to Mariana Tavares (26 seconds)
Tiago Oliveira to Paula Teixeira (249 seconds)
Tiago Oliveira to Rui Nunes (781 seconds)
Tiago Oliveira to Rui Oliveira (129 seconds)
Tiago Pacheco to 137112600 (781 seconds)
Tiago Pacheco to 227907504 (501 seconds)
Tiago Pacheco to 399035262 (402 seconds)
Tiago Pacheco to Antonio Tavares (762 seconds)
Tiago Pacheco to Dinis Silva (171 seconds)
Tiago Pacheco to Joao Nunes (597 seconds)
Tiago Pacheco to Joao Silva (85 seconds)
Tiago Pacheco to Mario Teixeira (37 seconds)
Tiago Pacheco to Rui Melo (521 seconds)
Tiago Pacheco to Tiago Nunes (14 seconds)
Tiago Pacheco to Tiago Pacheco (597 seconds)
Tiago Pacheco to Tiago Pacheco (865 seconds)
Tiago Pereira to 470308056 (41 seconds)
Tiago Pereira to 592862724 (435 seconds)
Tiago Pereira to 728702706 (416 seconds)
Tiago Pereira to Ana Teixeira (141 seconds)
Tiago Pereira to Antonio Tavares (134 seconds)
Tiago Pereira to Dinis Pereira (672 seconds)
Tiago Pereira to Dinis Silva (563 seconds)
Tiago Pereira to Dinis Teixeira (115 seconds)
Tiago Pereira to Dinis Teixeira (482 seconds)
Tiago Pereira to Mario Pereira (376 seconds)
Tiago Pereira to Rui Nunes (68 seconds)
Tiago Pereira to Sergio Pacheco (426 seconds)
Tiago Pereira to Tomas Pereira (740 seconds)
Tiago Silva to Dinis Nunes (349 seconds)
Tiago Silva to Dinis Pereira (50 seconds)
Tiago Silva to Mario Oliveira (855 seconds)
Tiago Silva to Pedro Silva (169 seconds)
Tiago Tavares to 875575949 (153 seconds)
Tiago Tavares to Joao Nunes (17 seconds)
Tiago Tavares to Joao Nunes (508 seconds)
Tiago Tavares to Luis Alberto (109 seconds)
Tiago Tavares to Luisa Alberto (63 seconds)
Tiago Tavares to Luisa Alberto (83 seconds)
Tiago Tavares to Mario Teixeira (297 seconds)
Tiago Tavares to Paulo Nunes (476 seconds)
Tiago Tavares to Pedro Pereira (502 seconds)
Tiago Tavares to Pedro Teixeira (30 seconds)
Tiago Tavares to Tiago Tavares (898 seconds)
Tiago Teixeira to Dinis Pereira (14 seconds)
Tiago Teixeira to Miguel Teixeira (159 seconds)
Tiago Teixeira to Paulo Pereira (373 seconds)
Tiago Teixeira to Paulo Pereira (795 seconds)
Tiago Teixeira to Paulo Silva (140 seconds)
Tiago Teixeira to Pedro Pacheco (21 seconds)
Tiago Teixeira to Rui Pacheco (836 seconds)
Tiago Teixeira to Sergio Nunes (813 seconds)
Tomas Alberto to 656388696 (186 seconds)
Tomas Alberto to 720395729 (409 seconds)
Tomas Alberto to Joao Pereira (667 seconds)
Tomas Alberto to Jose Nunes (467 seconds)
Tomas Alberto to Jose Nunes (572 seconds)
Tomas Alberto to Jose Pacheco (481 seconds)
Tomas Alberto to Luis Nunes (190 seconds)
Tomas Alberto to Maria Oliveira (405 seconds)
Tomas Alberto to Paula Silva (124 seconds)
Tomas Alberto to Paulo Teixeira (371 seconds)
Tomas Alberto to Paulo Teixeira (780 seconds)
Tomas Alberto to Rui Nunes (139 seconds)
Tomas Alberto to Rui Oliveira (273 seconds)
Tomas Alberto to Sergio Silva (85 seconds)
Tomas Alberto to Tiago Alberto (431 seconds)
Tomas Alberto to Tomas Teixeira (291 seconds)
Tomas Melo to 599052269 (150 seconds)
Tomas Melo to Antonio Oliveira (50 seconds)
Tomas Melo to Dinis Alberto (590 seconds)
Tomas Melo to Luis Silva (770 seconds)
Tomas Melo to Luisa Nunes (285 seconds)
Tomas Melo to Miguel Nunes (264 seconds)
Tomas Melo to Miguel Teixeira (208 seconds)
Tomas Melo to Rui Pacheco (730 seconds)
Tomas Melo to Tiago Tavares (709 seconds)
Tomas Melo to Tomas Teixeira (37 seconds)
Tomas Nunes to 625600955 (291 seconds)
Tomas Nunes to Ana Melo (52 seconds)
Tomas Nunes to Ana Teixeira (330 seconds)
Tomas Nunes to Antonio Oliveira (292 seconds)
Tomas Nunes to Joao Pereira (132 seconds)
Tomas Nunes to Joao Teixeira (723 seconds)
Tomas Nunes to Jose Alberto (613 seconds)
Tomas Nunes to Jose Nunes (753 seconds)
Tomas Nunes to Jose Oliveira (450 seconds)
Tomas Nunes to Luis Pacheco (151 seconds)
Tomas Nunes to Luis Pacheco (376 seconds)
Tomas Nunes to Luis Silva (699 seconds)
Tomas Nunes to Luisa Pacheco (849 seconds)
Tomas Nunes to Mariana Tavares (638 seconds)
Tomas Nunes to Mario Oliveira (141 seconds)
Tomas Nunes to Paula Melo (51 seconds)
Tomas Nunes to Paula Nunes (660 seconds)
Tomas Nunes to Paulo Silva (500 seconds)
Tomas Nunes to Pedro Melo (594 seconds)
Tomas Nunes to Pedro Teixeira (780 seconds)
Tomas Nunes to Sergio Oliveira (14 seconds)
Tomas Nunes to Tiago Nunes (730 seconds)
Tomas Oliveira to Luis Melo (886 seconds)
Tomas Oliveira to Maria Silva (308 seconds)
Tomas Oliveira to Paula Silva (771 seconds)
Tomas Oliveira to Pedro Pereira (441 seconds)
Tomas Pacheco to Dinis Teixeira (380 seconds)
Tomas Pacheco to Jose Silva (160 seconds)
Tomas Pacheco to Mariana Silva (623 seconds)
Tomas Pacheco to Miguel Alberto (509 seconds)
Tomas Pacheco to Paula Pereira (527 seconds)
Tomas Pacheco to Paulo Melo (83 seconds)
Tomas Pacheco to Paulo Silva (691 seconds)
Tomas Pacheco to Rui Tavares (811 seconds)
Tomas Pacheco to Sergio Tavares (589 seconds)
Tomas Pacheco to Tiago Pacheco (213 seconds)
Tomas Pereira to 594178313 (48 seconds)
Tomas Pereira to 695809742 (140 seconds)
Tomas Pereira to Joao Teixeira (105 seconds)
Tomas Pereira to Jose Oliveira (318 seconds)
Tomas Pereira to Jose Pereira (167 seconds)
Tomas Pereira to Mariana Alberto (477 seconds)
Tomas Pereira to Mariana Teixeira (824 seconds)
Tomas Pereira to Mario Silva (750 seconds)
Tomas Pereira to Sergio Pereira (562 seconds)
Tomas Pereira to Sergio Silva (135 seconds)
Tomas Pereira to Tiago Alberto (59 seconds)
Tomas Pereira to Tiago Teixeira (604 seconds)
Tomas Pereira to Tomas Pereira (880 seconds)
Tomas Silva to 958430362 (606 seconds)
Tomas Silva to 992424082 (691 seconds)
Tomas Silva to Ana Melo (447 seconds)
Tomas Silva to Dinis Nunes (863 seconds)
Tomas Silva to Joao Pacheco (450 seconds)
Tomas Silva to Jose Silva (771 seconds)
Tomas Silva to Luis Silva (39 seconds)
Tomas Silva to Luis Teixeira (420 seconds)
Tomas Silva to Luisa Melo (327 seconds)
Tomas Silva to Sergio Silva (222 seconds)
Tomas Silva to Sergio Tavares (826 seconds)
Tomas Silva to Sergio Teixeira (92 seconds)
Tomas Silva to Tiago Alberto (255 seconds)
Tomas Silva to Tomas Pacheco (266 seconds)
Tomas Tavares to Dinis Nunes (717 seconds)
Tomas Tavares to Joao Pereira (861 seconds)
Tomas Tavares to Mariana Alberto (734 seconds)
Tomas Tavares to Mario Alberto (701 seconds)
Tomas Tavares to Paula Pereira (435 seconds)
Tomas Teixeira to Antonio Pacheco (209 seconds)
Tomas Teixeira to Dinis Melo (671 seconds)
Tomas Teixeira to Dinis Silva (644 seconds)
Tomas Teixeira to Jose Melo (431 seconds)
Tomas Teixeira to Jose Oliveira (681 seconds)
Tomas Teixeira to Jose Teixeira (546 seconds)
Tomas Teixeira to Maria Pereira (808 seconds)
Tomas Teixeira to Paulo Nunes (603 seconds)
Tomas Teixeira to Tiago Melo (437 seconds)
